"group","V1","V2"
"A",47.9487,77.5641
"H",27.3388689181,51.6530467544
"C",44.8499842618,70.3952029719
"B",39.8112302539,65.3348328092
"E",80.3124913784,NA
"C",42.7390751173,50.483155992
"H",52.6849534438,51.2944692191
"E",68.686593294,62.2373439902
"F",39.0874644519,15.1223039378
"M",NA,52.6846691452
"A",49.7436,17.5641
"C",66.7699466213,70.4233752108
"C",57.0533061394,10.5140692392
"I",54.2564023808,79.3138648504
"G",39.7363306065,23.4948069772
"B",34.3983616372,59.5444469033
"G",NA,71.9733600919
"M",66.3377850519,33.3065100022
"M",72.0362880189,69.7160484161
"D",69.5038013697,81.8154056166
"E",82.6701124763,81.711479845
"A",53.0769,85.2564
"G",96.0805193672,28.0536005018
"J",36.03340215,53.371687755
"L",55.0455549106,45.9862727459
"E",41.7873232275,NA
"F",68.9880844294,63.232147305
"G",59.0674270249,26.7882840217
"H",76.8780819814,51.8675622958
"H",75.8709908356,17.1348939075
"L",55.1058961252,46.1490510561
"I",63.394712866,17.7005351354
"B",57.4660505497,1.50441817488
"I",75.6742073297,24.7825009657
"B",75.8552294691,62.5170442862
"K",NA,83.7833976656
"J",70.0427352449,80.3850213547
"D",30.5015964737,82.3071263462
"H",77.0833377719,52.1577992662
"B",78.0794214417,93.1333167652
"J",54.7141710591,84.0431280734
"I",36.4688894772,21.8761144725
"H",27.8782642594,50.70890793
"F",58.082020494,92.0081450101
"D",NA,79.8348944011
"G",79.7001583481,20.740218365
"L",46.9095386323,85.6022611586
"E",40.6437192795,20.2408613716
"D",30.4921854231,55.8789168923
"C",53.116915041,10.5068605973
"I",25.2137904611,NA
"A",55.1282,40.641
"J",NA,13.9943105293
"A",50.5128,9.4872
"B",NA,30.8321939163
"I",30.8894308257,26.3290372348
"G",56.7891043639,17.3061155207
"K",65.6763960251,35.1093154301
"I",52.7512222162,79.2936599344
"K",29.292783111,59.79199693
"H",50.4492703306,83.9699203811
"E",79.221764441,22.0945914837
"I",26.4592623274,62.6346733709
"E",40.622115916,78.5421042089
"I",61.8265465579,17.2696554452
"L",37.5437012597,32.8840244657
"C",46.6883404976,10.5075321353
"L",39.8853734176,90.6346620817
"I",47.875198343,NA
"K",46.2647413368,94.1161921613
"H",52.729246581,51.2017650475
"H",50.9189408654,17.1476047571
"I",75.6865711383,24.7415103908
"A",46.1538,94.4872
"B",NA,42.75961287
"L",51.487713355,20.8436106875
"J",91.5078881747,53.3126520851
"L",49.8420222483,50.5765522936
"J",50.9677483784,29.6797742875
"K",31.0329174395,28.9281418896
"A",33.5897,41.4103
"K",49.0409566406,77.3625832678
"G",59.8469248931,26.1777124879
"B",78.7742390407,NA
"K",55.761587372,54.0305172396
"B",NA,81.5542049945
"L",44.0774051326,NA
"E",44.3247788435,71.0459044019
"H",75.2633555474,82.9452793018
"C",54.6809865825,89.9645994589
"A",68.4615,5.2564
"L",NA,29.3110927191
"M",39.2194529062,83.5434818364
"G",76.7457612243,71.9733600919
"L",52.4066488967,96.4254150057
"J",36.916543863,41.0952474383
"B",32.1464623358,43.4817094425
"G",70.8104148392,79.3504618327
"H",50.4355295722,17.0651685025
"J",63.4973230835,11.9140691707
"A",31.2821,62.5641
"B",52.0334562787,64.5666620298
"A",51.5385,34.8718
"C",63.3095540306,10.4888142392
"K",30.4043143388,29.0795399241
"M",66.3880173202,89.2812304744
"D",50.4815081703,93.2227013657
"C",26.3314570795,50.494556525
"H",50.4770477213,17.0482894119
"H",50.2166950326,83.7523429676
"D",89.5001240511,53.2163306165
"J",51.599848153,84.8198214898
"L",47.3748964954,83.4715555182
"K",42.53480844,10.1698684594
"A",48.7179,14.8718
"H",NA,82.9148911324
"D",50.4975722411,7.40962523419
"D",89.4942005622,62.2343269676
"D",69.5010445197,5.95583353945
"A",51.2821,78.718
"A",53.8462,80.641
"J",70.236869515,82.1711510621
"D",50.4483013392,NA
"M",34.2333554347,22.4959116015
"B",43.4904501336,40.782542065
"C",48.4422995026,30.5017227753
"C",35.6673163042,30.522035054
"M",63.9469519836,18.6928454476
"G",NA,20.6941731019
"E",44.5173339492,70.3693498252
"J",36.4819805699,15.1627600944
"G",40.0500951983,71.8890335708
"B",67.7597962473,72.4212015285
"B",67.6707164012,NA
"A",66.9231,10.641
"B",68.5077081898,15.4569189652
"C",42.2422929389,89.7085785936
"D",69.5191157281,71.1159672213
"M",67.0265507063,76.2225153324
"C",76.696465628,50.4938305609
"G",47.0937298879,26.9934706312
"K",61.6185682473,13.4108227184
"J",48.9930401201,32.0303588363
"A",22.3077,57.1795
"D",30.45024833,79.8348944011
"J",46.9570801494,65.2404073935
"I",31.1686007236,69.2454213193
"E",68.942075458,62.635150577
"I",33.4461829314,24.1906434075
"K",90.4418181137,40.1331134204
"F",43.7225508034,19.0773278036
"F",76.7318493982,16.2168461441
"E",37.5620763361,11.9284457044
"E",37.2246101278,17.9800644828
"J",73.4286708654,48.5778551303
"C",58.6693732631,30.5068378948
"L",53.8098729164,17.7664144512
"L",63.0168717563,NA
"H",25.5834750822,82.9148911324
"H",75.1945668739,82.9321157846
"I",82.1443116037,33.1952218669
"F",56.5313372853,NA
"A",60,10.641
"K",44.7595874356,41.9746066134
"K",NA,28.0517363383
"M",72.9981862717,59.6656447092
"J",59.5030766063,30.6696739448
"B",NA,84.6829549336
"G",92.2484016622,32.3771544295
"E",42.8267563374,25.5569594065
"M",31.0900650789,32.3837547196
"G",58.2704123843,35.5968950425
"I",43.046183241,18.4025593948
"M",67.6614312657,51.0685845873
"K",62.4237785929,33.4865952868
"G",45.8019347617,81.6582677456
"J",20.6891490538,62.7213052064
"M",NA,35.7175447772
"D",69.5193397556,47.384533707
"F",77.5847398447,15.8300393854
"H",76.9954121013,52.0455286534
"L",54.8635045999,14.009611915
"F",66.2878905956,26.1171097453
"G",92.2478988278,28.0707514904
"J",33.0082339121,15.9850714584
"K",55.9059162338,54.2526725342
"F",29.6027609801,60.157346722
"J",37.3104527352,45.2587508999
"G",63.6093798555,83.3600288362
"I",36.4688894772,NA
"B",49.2572183396,NA
"E",77.1636254828,73.5237189623
"A",57.4359,55.2564
"E",66.512924456,59.0712818478
"D",50.3774019862,16.5060150613
"F",41.6404540171,27.0930954213
"F",32.4618467439,62.8819029189
"A",56.1538,82.9487
"G",72.8336258709,72.1146938095
"A",38.2051,49.1026
"L",37.4770138847,NA
"I",65.1181219632,77.3991884543
"A",30,29.1026
"D",50.253683689,81.7438287242
"K",61.5868424253,11.0275858356
"B",30.3918276596,42.75961287
"G",28.2178118248,NA
"I",85.66476066,45.5427527692
"C",42.4484337816,89.5077001153
"L",53.1786144535,98.6038611855
"J",45.4691770035,NA
"M",66.5493579687,67.7255886599
"L",36.5234892198,35.6710483891
"G",57.662276619,24.0606079328
"K",65.7766651568,16.7876560655
"F",44.0539275103,33.5563924949
"L",90.700691247,41.4667030063
"H",75.573954129,17.0621921415
"L",18.1094722949,53.7081103324
"F",77.9726106776,14.9556987461
"B",72.5093283599,39.5401302526
"C",NA,89.7319325216
"K",54.1331954613,83.7939960824
"G",28.0376027706,26.8038243613
"A",50,85.2564
"K",61.1203943844,88.7040529069
"F",77.8990579454,51.8224583343
"G",32.2151786343,65.6009580191
"C",65.4144870523,10.6818401251
"G",NA,17.3061155207
"A",30,36.7949
"K",47.4421116354,98.1843018589
"K",54.8117983683,6.56964870325
"H",50.6617795563,17.0781405153
"L",59.8526782804,9.03994992133
"K",54.3894952619,53.811901225
"E",34.1409410386,4.57766135024
"C",34.6254702671,30.4997410297
"I",73.0318330209,73.12057473
"H",52.5093008862,51.4162051508
"D",NA,97.1938760167
"H",26.2014192753,17.0938239128
"C",32.3789386326,90.144142631
"G",64.0670962137,27.7765005568
"A",29.7436,NA
"L",49.8069877356,82.085025592
"C",32.0371080007,50.5000661229
"I",56.265834263,79.2529394854
"C",49.5858434795,50.4349813825
"G",57.662276619,NA
"L",77.4490021363,NA
"J",70.2554746739,13.2503849689
"L",32.3759619238,68.5108204552
"H",75.8709636929,88.3864417377
"L",46.313692406,55.6855917703
"F",69.6470214273,44.044445022
"E",41.0643057894,12.2144689321
"M",65.2783891952,44.8203529292
"J",NA,33.8311927323
"E",52.6309642318,59.9639357915
"H",50.4588548392,17.0385789686
"M",32.4386500903,49.9030194916
"E",81.5644753207,83.7929072262
"L",42.4954400876,56.9036815315
"I",26.5135531009,32.9187498178
"F",49.1161568603,63.6600006211
"K",86.4015498466,38.7469331743
"B",42.2293783752,19.9140684075
"B",37.0003871448,60.264279248
"J",39.6495738769,82.6645338713
"F",41.6798476925,17.7459190133
"K",80.352934115,47.8002988852
"F",75.1307142075,23.3724419733
"L",52.8720214902,97.3432226575
"G",86.5043905611,34.8940252874
"J",NA,9.92056085444
"L",67.3025779226,64.4134627173
"C",51.4067867898,89.7121385499
"M",68.3076187632,13.2809165227
"F",38.3865255803,14.5802151464
"M",77.067111934,NA
"B",73.0539899616,29.3808085571
"I",NA,69.2454213193
"H",52.0288486671,52.1768375002
"J",38.3593948725,13.431322624
"J",46.4807681047,83.518211666
"B",47.4881326771,85.3899333808
"H",77.310600475,51.7467300374
"B",45.5964849542,9.76334884943
"H",52.9013640729,50.6905627231
"F",81.5304203188,56.0253645659
"M",66.0641357377,NA
"D",50.3994096114,38.9638389234
"H",50.7113785398,17.0883158538
"D",50.2023180965,47.2129480045
"J",19.2882047369,62.0630593582
"C",53.0965573571,89.540243712
"B",76.1669198143,75.9361704048
"K",NA,64.1000234779
"E",47.552160202,66.4604037217
"F",75.9826615205,16.3069223786
"I",60.3497935166,78.7294458673
"J",NA,29.6723483149
"C",63.0186009279,30.4925819262
"C",67.0885590036,30.4945239508
"J",49.6774146514,10.3831325083
"G",46.965785757,16.7892016247
"L",46.3860739231,51.0021645381
"J",67.2806595188,14.1286515323
"M",64.9003579699,16.2452583689
"K",37.700837521,68.4184052804
"D",50.2504708592,71.9513852104
"H",50.5597580562,17.0938837744
"B",38.9800154218,87.322160691
"J",58.9744699018,85.499817612
"C",58.2390955164,10.4948990284
"D",50.2824056687,97.6099835723
"E",39.762826107,NA
"D",50.17317743,29.177864393
"H",77.5009073165,50.1669859475
"I",50.0322537946,79.013071199
"D",NA,82.0892320845
"C",54.9248425638,10.498331942
"F",76.9457572424,15.858478334
"H",52.5897198565,51.338090196
"G",62.3362327624,83.2465678988
"M",66.3138096741,98.9310270371
"C",27.1498436318,70.2108058428
"M",65.4455325117,43.2734991936
"H",50.1271820272,82.990749996
"F",29.0056141576,63.3907513334
"F",56.5313372853,87.4998110713
"D",30.4622184647,32.7504720275
"A",58.7179,18.3333
"J",NA,55.5469737131
"I",47.3524164557,17.1347454264
"A",23.0769,66.4103
"A",56.6667,86.0256
"L",28.6031956015,44.2237227
"K",55.5638650304,85.8103751441
"C",70.568289819,50.4962361243
"I",57.9022660533,79.0808678187
"K",67.4641398118,95.999963905
"G",40.0788064496,80.2471852579
"G",48.2534809736,29.2708555331
"C",NA,10.5032723508
"G",44.4164011084,28.9476923345
"K",61.6587233282,64.1000234779
"B",67.9805388133,80.9571652197
"I",68.8927840241,20.0324488429
"D",50.205406955,90.6405359009
"F",28.8013366963,NA
"B",NA,83.6396338956
"G",49.3677068167,22.005580703
"G",49.0187553996,23.4892740197
"J",50.2852524042,30.3379221051
"I",39.4855747899,NA
"K",53.5129705438,5.87510952836
"K",47.849907703,48.556624645
"E",NA,8.36563890168
"C",91.1120854191,50.489389393
"E",79.0043268649,10.6281977654
"G",30.0112642472,68.1467563743
"F",41.3272006535,49.0702512739
"L",20.9319996761,51.6462354868
"E",65.5307814724,42.2810847015
"F",58.0245140126,91.6944211685
"D",NA,44.9951230008
"L",44.544955314,27.3622426221
"L",39.9116351739,32.1440226145
"A",42.8205,91.4103
"K",41.5789293984,90.3035665387
"I",45.0410771273,17.7345177303
"A",22.3077,61.7949
"D",50.0836645085,NA
"H",27.6399679354,51.3990974838
"L",63.0168717563,68.2252589114
"D",69.5001114942,11.7916260054
"H",NA,83.7083177013
"H",50.3535214052,17.0647430794
"H",76.2431578028,52.1236898503
"L",64.090998189,68.6509850107
"E",38.6601639737,21.6895496369
"J",72.5706234458,NA
"C",51.8941663939,30.494755684
"C",42.7040363241,90.4426288607
"G",65.5923626471,20.6941731019
"C",32.3789386326,NA
"I",44.3779145287,78.1646280036
"A",74.359,22.9487
"H",50.2074801993,85.4600473951
"A",72.0513,86.4103
"E",37.5794219113,15.0158901333
"F",29.4329605156,60.8017765444
"C",66.7632573944,70.4738617113
"M",74.8121312339,NA
"K",51.3088252568,80.1363911553
"I",58.6726630845,16.6633724322
"C",76.7659121498,10.496999064
"F",55.3155090581,80.2518606944
"E",75.2838870131,24.8747531721
"F",42.1787133986,26.492119482
"D",69.5250693831,NA
"C",62.6856904424,30.5464245575
"F",57.5494740761,90.7489065581
"L",26.1604969417,NA
"B",30.8469189898,37.3416401041
"M",NA,19.0468586722
"A",64.1026,25.2564
"D",30.5183947985,68.2525829388
"M",37.5196356,29.2676058936
"A",47.1795,9.8718
"I",81.5779459183,63.8949255005
"J",NA,53.371687755
"L",61.5633243835,89.8641388605
"G",23.7490719056,63.557171895
"J",48.6643707344,30.6806668519
"K",51.1411835714,20.6183237784
"M",34.5838289299,89.5889019877
"B",40.467576002,60.0275120878
"B",62.9344593731,31.9163906992
"E",40.9159715783,23.5415923929
"L",28.4192021281,21.3157482481
"L",53.385280634,78.8711362558
"L",37.6270534612,93.060672952
"J",34.7637004189,47.6247999245
"H",52.7920973459,51.0733956509
"A",75.1282,79.1026
"C",73.3363681612,70.3169271705
"F",40.3834058238,21.3912255247
"C",67.2148371159,70.2600284356
"A",32.5641,32.1795
"I",56.4514336733,79.2471070208
"C",49.6561262881,50.4313198677
"A",64.1026,10.641
"B",67.2694004772,18.7089683725
"C",47.0541298828,90.458936026
"B",49.2572183396,81.8814032306
"B",76.0882257967,59.6799300235
"A",52.3077,18.3333
"I",84.7942778751,NA
"D",49.9128985877,55.5878389121
"L",77.4490021363,72.4473094857
"B",53.4214628807,26.1868803879
"L",67.095847697,0.601490941965
"A",32.0513,26.7949
"B",76.3565221496,10.4182411281
"G",37.0211840116,81.954469997
"A",55.3846,97.1795
"J",79.6642622775,73.9323097157
"K",68.4925132247,17.9873634289
"M",36.7106729424,86.0749670003
"E",39.762826107,76.4059674459
"H",75.2280531954,82.9856620201
"H",27.5806388053,51.5247612607
"H",NA,52.1230110467
"M",39.002716451,NA
"J",89.0921976305,57.768193047
"B",67.3724659005,29.720400203
"I",85.6044990156,50.7623379055
"A",38.7179,NA
"J",NA,9.69154713447
"I",77.931004934,68.6900618808
"D",49.6888638379,42.018514414
"K",NA,73.9004448762
"F",57.9146644768,89.9538027677
"F",54.4130936504,78.2290865878
"M",30.796174379,23.5190343602
"G",72.2220822073,19.3692816955
"C",70.8444476004,89.9242090159
"G",70.7237162322,87.1522075165
"B",70.0405435824,77.1438066024
"D",30.509115326,22.8255471196
"C",56.8283953362,89.5836647251
"H",75.6058847579,17.0677230553
"L",NA,20.8436106875
"D",NA,82.2192057218
"E",78.789825254,25.5971933466
"D",69.5043762947,70.4934438205
"M",64.9126624396,87.6457960566
"D",30.4780588886,28.020580489
"M",65.7140760682,99.2837639519
"E",43.8568984983,77.6098436482
"G",51.1834666638,85.1288546497
"K",71.1341263421,19.3859575313
"D",NA,9.99229666551
"J",51.2038911373,83.3397766053
"E",84.8482440854,95.4248045304
"A",95.3846,36.7949
"F",56.6365087005,85.637495556
"I",NA,62.9809712052
"I",85.6224867126,45.0241658646
"G",33.5458051034,20.0807081014
"M",37.0232562464,32.1184816794
"D",50.3259243927,94.9946308528
"D",30.5020767935,36.4412129198
"C",74.6478782284,30.6738628584
"L",64.5963189058,65.952512925
"G",60.9815013975,23.9342981582
"F",43.23308466,63.1652187223
"F",64.8927879422,65.8141767574
"J",60.8536798727,65.4991470327
"M",34.9976613883,28.6329939351
"G",91.782532741,34.3842946521
"K",NA,53.3957388998
"D",50.4189791992,NA
"C",72.3020057291,70.2204373812
"H",25.4835833896,82.929084979
"I",22.9594789762,51.2877067934
"I",61.9156096372,17.2821912228
"F",58.2493910631,92.1296814778
"H",25.5651134237,82.9240977704
"E",44.3607194344,70.4742070546
"B",45.3780188805,29.1692166544
"C",70.5382006004,30.4835582526
"I",NA,21.1458881039
"M",67.8061881135,91.6881773501
"G",NA,67.6444437851
"B",40.9138319319,38.5590195509
"D",NA,16.8783132661
"G",44.6767615455,80.2382855483
"B",35.9036097344,91.1118630801
"F",58.2431718991,92.1043278652
"G",66.9432914334,20.1891325034
"K",84.090507598,56.301968006
"J",41.389522551,37.2960562328
"J",61.5205906458,64.7918550418
"M",65.6722651618,91.9334018119
"B",39.0440366877,84.6760108316
"C",29.3365106528,50.461893969
"A",61.7949,99.1026
"B",79.4283834934,45.2107942872
"G",52.5355347207,27.1741229419
"L",71.8870772602,59.2669926152
"M",68.5406624515,48.4385263389
"K",48.4506176492,16.2122782224
"A",62.3077,46.0256
"A",50,55.2564
"L",37.0882451339,NA
"F",54.6209525885,30.3445244537
"M",66.8176792234,11.4124971575
"D",89.49778562,46.6299066746
"D",89.5048511306,48.4234081578
"I",56.265834263,NA
"E",49.6592939398,36.273442735
"D",69.495755496,58.785073162
"M",66.0044543688,NA
"A",70.5128,53.718
"H",50.7336745372,16.9929634144
"G",NA,17.0334945954
"B",30.0522898741,96.6175423534
"C",26.1669092779,70.5003151212
"H",76.9485027211,51.9075165439
"J",88.4321025254,64.6242470023
"A",64.8718,97.5641
"J",88.239001904,31.4774348786
"J",70.846426107,52.282253331
"M",NA,86.0749670003
"F",82.5402395934,56.5410522935
"L",NA,11.6128777918
"H",50.5512780561,17.0846551833
"K",77.7468851148,47.3718241139
"M",68.7634335463,8.70057294385
"L",36.4347239148,62.2940454639
"K",48.3923630032,50.3315285645
"D",50.1156321728,16.6940065479
"C",74.6782541432,70.4453141903
"I",NA,16.6763302777
"H",25.8551275976,17.0819086886
"A",93.3333,39.8718
"M",66.7241920702,NA
"J",61.2797865792,65.766402504
"F",38.4040152085,14.4519484496
"C",52.8019793617,90.0880645063
"L",62.2926421901,40.0295333141
"K",60.7493891909,28.0517363383
"E",71.8266529973,65.6862303604
"H",75.2964750909,17.0156531888
"I",45.0289975331,17.7244473049
"A",70.7692,91.0256
"B",39.505789079,74.8516272173
"J",24.6355399754,71.6107148256
"A",36.6667,45.641
"I",57.0758924193,79.1939225382
"A",NA,60.2564
"F",70.5958928563,41.9647438672
"I",65.8072190346,18.1407649473
"L",NA,23.4913735562
"A",28.9744,74.4872
"J",68.995028632,13.9943105293
"A",29.7436,36.0256
"G",78.4646034437,69.7493008209
"C",53.366566866,90.2080300059
"K",24.6308301331,53.3957388998
"D",NA,21.8509008151
"H",NA,51.7467300374
"M",64.3256315887,41.6159763773
"I",50.4922475132,78.997532065
"H",77.6820163247,51.1656378096
"A",39.4872,25.3846
"M",64.320383794,31.7856294846
"H",75.4005271583,17.0411068868
"E",NA,53.8779658045
"D",50.2797016367,15.608737571
"I",42.1422682922,76.8806345544
"K",NA,59.7533088802
"H",52.6356576791,51.4185522584
"H",50.288527801,82.9752535659
"E",38.3377571839,92.472719051
"F",31.7086628996,58.837754374
"A",61.2821,62.1795
"M",64.2977371716,20.4287496884
"I",57.1409359294,16.5986105437
"K",44.6099759113,93.075835032
"M",67.5445276811,16.4479381344
"H",49.9283802752,82.9936654888
"B",38.6644611569,33.3172384774
"K",27.8877193574,75.4455759934
"L",71.8870772602,NA
"K",68.4127671225,19.9131265443
"H",51.2638712274,17.1623497098
"A",46.1538,6.0256
"H",75.4793396586,82.8840513891
"G",58.1187658587,73.1189614684
"H",27.6784029741,51.1819891691
"D",50.1867033389,99.6946801425
"D",50.2530067222,11.3020842468
"M",62.4256973267,34.0442062707
"M",73.0273050243,NA
"L",60.375744968,41.3564579961
"E",71.5691888532,34.699218607
"B",38.3020058088,60.0177857932
"K",41.5303978512,13.3962907452
"K",71.5450389858,72.657716331
"D",50.4102716314,98.6283694405
"L",NA,51.6462354868
"H",77.9260443352,50.3186604237
"M",33.6744421497,26.09049021
"A",29.7436,62.1795
"J",62.5602588694,30.4471356661
"C",22.0037091415,50.4994401238
"I",45.0102700721,77.8808631153
"G",50.157414434,NA
"A",NA,42.1795
"H",52.7977329399,50.6860370901
"B",52.4944067819,16.0511142003
"A",67.9487,22.1795
"F",38.7642788913,14.3655904744
"C",46.2381175975,30.4956129408
"D",50.4189791992,60.5249117346
"E",39.7556490651,79.6570966361
"E",52.9451780881,40.3846256942
"L",20.9319996761,NA
"E",31.1068665551,89.4616352367
"K",37.7914323802,66.8546410275
"A",47.1795,28.718
"K",74.1867734997,74.3442041467
"J",38.5021996714,41.5671556174
"F",27.0246032407,62.9018588649
"M",69.048716493,66.3660457477
"F",56.6639740815,NA
"G",65.3064624975,18.1973548277
"F",49.4711054118,25.0630193062
"E",42.3462616039,24.5583269437
"J",83.2939057345,70.7784317876
"G",NA,70.0440572588
"J",29.5575433634,21.3647774591
"B",82.1105579783,1.21055166293
"D",50.3373626448,40.913386144
"A",61.2821,19.1026
"K",58.4163840114,5.64577748328
"G",NA,75.0980490792
"I",31.7606691716,NA
"E",81.6437056853,16.5917599845
"M",67.5017806138,60.8502274659
"M",72.4798343312,80.8006830564
"L",67.2313347767,85.055640808
"B",74.8850211598,25.4166063231
"M",38.4028368753,NA
"E",61.9080397046,53.1903520694
"J",75.1307160373,79.9840931403
"B",34.1188302357,NA
"J",NA,11.3189448865
"J",59.8399667124,64.4767644437
"J",54.3797219484,84.2403555494
"I",25.5860552415,60.8465833585
"E",80.3124913784,76.5162389518
"I",77.2045893204,69.3121497658
"K",36.1634664356,33.819314199
"K",65.5834276962,93.5170609365
"B",66.4549036599,19.8366286542
"L",NA,68.2252589114
"D",50.489902373,39.2054119682
"L",69.9194262552,29.3110927191
"L",24.150491069,47.1885335266
"I",41.0269715735,76.4095884613
"D",50.1040315041,95.0885380179
"L",31.4970254888,67.9125621568
"I",39.9213628084,19.7018495281
"J",91.7355387598,48.9702108877
"F",77.6346517616,14.461853927
"J",39.0555497751,55.5469737131
"D",30.4549558873,63.5017787814
"E",NA,13.3921347304
"D",30.500998079,48.0696996767
"G",51.3478832298,27.3642602259
"L",26.1604969417,23.0422314726
"D",30.5047730174,26.4166256707
"J",49.1917219555,85.8762291224
"K",NA,10.6326415569
"C",59.8525770283,10.5431877763
"L",76.7756112073,55.2545987009
"K",20.2097781637,67.5166420988
"I",NA,78.6665589963
"A",68.4615,94.1026
"B",NA,80.0656402858
"E",76.1056290282,95.3049805754
"D",89.5048511306,NA
"L",62.307750573,5.74997471945
"D",30.4980777147,62.3849850338
"I",31.7606691716,69.7976553936
