"group","V1","V2"
"E",70.4722626065,36.0880530553
"I",26.3143100672,33.2971681038
"A",63.0769,19.1026
"I",45.6174391854,78.1199702277
"D",69.5291826079,57.8412666804
"B",NA,14.2745856444
"G",60.8065608049,27.8683134861
"A",42.8205,32.5641
"A",56.6667,40.641
"G",37.3099483549,72.5861552003
"K",21.0379688969,49.829299645
"B",56.5841530218,70.512514809
"D",69.5190952617,11.4226857018
"L",76.7756112073,NA
"L",59.3150555205,12.3543136666
"M",NA,67.7255886599
"M",77.9158742329,45.9268433826
"H",50.7851572052,17.1801964842
"A",68.2051,2.9487
"I",60.6739209233,17.0518023644
"J",63.1490490834,83.9468553485
"F",58.3821244904,90.5534760692
"J",48.1799307865,85.0451167372
"F",64.4007871926,67.4487184472
"K",33.9806339675,35.0330581489
"D",50.3112993746,26.8604882737
"E",33.7296067755,88.622265789
"B",71.7683189223,20.0110618423
"F",79.3260781751,52.9003912897
"G",52.8112216438,17.8549881176
"E",64.8520398267,43.1337348404
"E",37.1030736419,15.4456116477
"A",59.2308,44.4872
"M",77.067111934,51.4869181896
"A",26.1538,71.4103
"J",72.4709525633,51.1221348241
"C",52.4189219215,10.4959063596
"G",59.7665303129,32.6212516009
"D",69.5618994268,15.9998037858
"B",44.5902125769,22.0340116412
"D",50.4672293846,90.281464505
"G",NA,83.4373907092
"F",77.4133752817,15.2219279762
"I",58.5721354669,16.642703808
"A",56.1538,14.1026
"I",26.3207111933,62.3962811186
"L",39.7958978066,28.4432191156
"C",75.4772220231,10.5185680355
"K",63.9863468858,32.7134316129
"B",52.0334562787,NA
"E",84.6102197758,14.2477619017
"B",70.2425464362,NA
"K",54.855664646,83.7833976656
"F",58.4618385916,90.2653263904
"B",64.9374355444,81.5542049945
"E",77.7815467962,23.4472144745
"I",68.7456312971,75.7900554548
"F",41.4701423265,17.2780334445
"A",67.9487,8.718
"L",45.4203820755,5.37240899542
"F",77.5437200743,15.253949149
"I",84.6267242006,39.4870775084
"C",56.7721495656,10.5032723508
"B",53.2591294055,97.4757710964
"J",68.4530459999,13.0355285908
"F",29.4226860665,63.0684648229
"G",49.3104686263,67.1687603206
"A",73.8462,83.3333
"I",42.8790365154,18.4894110252
"D",69.5001114942,NA
"G",92.2484016622,NA
"G",64.2491606461,14.9139624607
"M",65.4155283864,10.4635122068
"H",52.2633473764,94.2493278274
"K",57.8328062743,9.22238462333
"J",91.1910536059,46.6743428399
"B",61.8564651063,71.7927431642
"F",28.087273053,63.1232828116
"M",74.0784292286,72.9515308522
"M",36.9463314417,13.5143774996
"M",NA,10.4635122068
"J",NA,82.4309187567
"J",20.9594648125,66.0414983826
"C",22.8171074784,30.4360403387
"F",63.0559909076,29.7090956748
"M",39.002716451,92.26183816
"D",50.4682212165,13.3567024555
"D",49.9341271714,22.2561397401
"K",50.198958949,52.2250295948
"B",58.9124603193,75.6677562173
"I",63.0902251412,78.041409495
"K",92.5487933153,42.9019079116
"F",27.7799191139,63.518147517
"K",NA,67.5166420988
"C",57.9026866088,89.6184017294
"J",70.6449962629,82.4309187567
"F",55.0745059041,79.8175464166
"J",37.3293552552,39.6020423074
"M",75.6272550236,37.128751949
"I",73.5074477338,22.8569887644
"H",50.4880136436,83.0995191232
"H",50.8914922458,17.1413237277
"G",64.6170985343,22.4431455531
"L",61.7372710245,38.5848440052
"A",49.4872,42.1795
"B",42.7817612539,NA
"D",69.5050706711,33.7401525035
"I",64.0208416469,17.8835812521
"I",73.3961549252,22.8162479426
"F",39.3118718889,15.6407169743
"L",44.0774051326,84.1258533023
"B",42.0633045627,2.33519661206
"M",34.5838289299,NA
"A",44.1026,92.6923
"F",77.5847398447,NA
"K",46.7145179915,15.6132744651
"B",43.9498645857,75.9587156671
"A",56.6667,56.0256
"K",53.5299526734,24.2419155845
"J",NA,84.2605679876
"A",46.6667,54.1026
"I",26.1633874648,62.0268148985
"J",41.6832004024,84.0179406019
"K",51.8868880222,80.1136076892
"G",72.2725228706,67.6444437851
"F",79.4886844186,53.6516742641
"D",69.5202566002,97.1938760167
"G",54.1145317806,17.6735343896
"C",34.800701463,30.4979313851
"C",NA,89.5926540118
"J",55.3651603364,30.4458502777
"G",45.8596693166,17.1289036754
"A",41.0256,25.2564
"H",50.7046843629,17.0237445436
"D",30.4768299051,39.4246055913
"G",70.8633308324,79.4081747457
"A",40.2564,51.4103
"C",51.6803004439,89.9970275485
"B",40.6350418091,73.3947503698
"A",29.7436,59.8718
"G",61.4146337175,31.0393750583
"J",35.3496806211,47.1410731332
"H",51.8356372562,52.3357655339
"B",32.3311102266,61.411101248
"B",39.0896145478,70.4661940802
"E",73.2420023309,67.3532711288
"L",50.2244178157,19.1709698793
"J",66.1730182606,12.0379170217
"L",46.9882833458,55.4206367313
"H",51.7372816586,92.9791175339
"L",25.9525965456,73.0331803541
"L",59.2364904011,91.4811005766
"M",65.264338195,35.7175447772
"I",28.972835724,29.0504689185
"H",52.8843132864,50.4414354501
"C",67.9680481127,50.4521589097
"C",77.621049129,10.4958742318
"M",63.9100640599,NA
"J",58.6367650809,11.9747210652
"I",25.1658708449,35.7666139539
"I",64.8128669568,77.4869389235
"A",29.4872,51.0256
"H",26.0256445518,16.9250135319
"K",55.5898773424,26.2992451143
"G",55.9528886329,NA
"J",57.0609827131,9.92056085444
"I",51.2884586593,82.4359398425
"K",52.8583150204,20.2350610035
"J",64.7588870014,82.3152236405
"B",71.9641671122,41.8742826668
"B",NA,10.4182411281
"G",52.3581053558,19.4170541222
"B",70.0689259404,NA
"I",58.9882538467,78.9172589554
"H",NA,17.0647430794
"C",NA,10.5081369414
"B",36.4490038543,50.5462690659
"G",52.5355347207,NA
"I",83.8446535127,NA
"E",65.4008341477,42.6140320392
"I",32.2637000863,70.3166389012
"E",51.346027139,61.6005530364
"L",48.1756567942,19.5212153543
"A",35.1282,30.2564
"I",NA,85.5781338795
"A",47.4359,16.0256
"I",35.1613607523,22.7868496473
"A",54.1026,14.8718
"C",49.7397453317,30.4727248868
"F",77.6060865492,15.1628725383
"L",77.7628590782,23.4913735562
"M",65.8155400946,95.5883740582
"C",70.0868697658,30.5100448173
"J",54.0317756204,29.6723483149
"D",69.5250693831,93.5980502089
"I",NA,17.1347454264
"B",NA,16.0511142003
"B",28.2367819396,56.1395964513
"M",33.2349104271,38.502483721
"M",32.628463049,54.0637204929
"A",35.8974,25.2564
"M",34.1051509268,64.1291972267
"K",27.106242932,54.7195531488
"G",75.3598819664,75.4216145799
"D",69.4997669273,84.47968329
"F",77.2526510945,15.1515170246
"I",25.5380076465,60.6302361093
"D",50.3740520508,32.9182406167
"F",42.4765399431,18.3384735636
"C",55.7470928102,50.4789748003
"C",50.7451622429,10.5249055723
"L",78.8765811639,71.5625276804
"F",56.5381264538,NA
"H",50.5336350094,17.0195813691
"J",50.9404926595,9.69154713447
"K",61.2696820905,29.3857240482
"G",37.5747950188,69.9887444412
"I",52.0817555582,16.4538745312
"H",50.7252585405,16.9074698083
"D",69.4994788728,16.3374699821
"L",69.4598588916,30.1970315053
"J",46.5086141932,11.2071344881
"L",49.9367453057,21.5900969196
"B",34.1730737648,25.6936743092
"J",60.8349175348,64.6037697063
"I",26.6666456539,62.9809712052
"M",36.722837943,9.33330210686
"G",61.7276334143,77.0692384058
"M",67.3082233775,71.5902965807
"B",62.2135245453,21.4758389969
"H",27.5373953151,51.5936540762
"E",45.8142453101,31.056979672
"D",NA,45.8151791904
"G",76.7456848486,70.0440572588
"B",39.0520864793,70.6525028457
"A",59.2308,57.9487
"B",70.2895057187,NA
"I",49.570911405,79.0381238831
"G",23.7145662909,75.0980490792
"J",45.272002941,85.2370794195
"E",NA,64.9610049438
"D",50.2077411201,73.1145035177
"K",63.9210367078,15.6209610332
"D",89.4888412549,40.6250912209
"D",69.5510914402,58.4010982686
"E",50.8433046202,37.7446280981
"F",41.4815028637,18.0474374446
"C",37.7993149267,70.4695358763
"E",34.7945935378,13.9696834611
"D",69.524635976,2.73476016988
"L",NA,96.4254150057
"G",41.1006943822,26.5526132161
"F",57.8217892319,90.6931665489
"B",63.92020226,30.8321939163
"I",45.8703691685,NA
"F",70.9601362323,41.2595012867
"E",35.1660293896,84.1564919839
"J",NA,38.0065584658
"C",69.239417959,30.5060052447
"F",56.6639740815,87.9401250067
"J",27.560835291,72.8478255927
"L",34.207620843,33.5938054385
"L",67.3025779226,NA
"F",79.4727615693,63.4086861199
"L",39.2415652162,33.3614166846
"K",78.5757448361,76.8157030942
"G",27.2796128523,19.2572809685
"G",35.6535812004,17.5145080595
"H",NA,51.5936540762
"J",72.5706234458,80.9712184346
"K",59.243809528,10.5401420943
"A",22.3077,NA
"E",32.7672179591,88.5182945794
"C",58.8215465891,70.4557817483
"F",56.5381264538,32.4442454697
"A",40.7692,88.3333
"G",57.337906053,84.9995188696
"F",77.392982494,63.3714590552
"L",67.2259568904,62.4764105301
"J",44.2916687157,82.9094412144
"B",71.9641671122,NA
"C",45.3172255098,10.4958733944
"K",49.1774185559,96.6105324538
"M",65.790651882,55.9453737171
"E",NA,71.0459044019
"K",24.4434528292,54.4736551228
"I",83.8446535127,58.6160602305
"G",56.2479351377,83.513949493
"C",87.6984642949,50.4899365296
"H",50.6309819633,17.0765223454
"M",35.8382920833,53.3514883396
"M",38.7980121423,NA
"J",89.1155590082,64.0015066388
"H",27.892658895,50.7952815163
"M",65.3140322257,77.9387440331
"M",66.755021412,18.0853051378
"M",30.9871426099,63.9440280336
"G",59.191159132,17.767901807
"K",72.436657497,20.5783451136
"H",75.4480625064,17.0451494125
"F",62.5667590405,77.7439347591
"B",71.9650826544,NA
"H",50.378262298,16.9462798113
"M",31.5882013862,77.0280524208
"F",28.8013366963,63.389040388
"E",47.1301271555,31.3099029222
"B",65.475952195,14.2745856444
"I",53.0812416908,79.2972507654
"M",66.0044543688,52.6846691452
"E",40.0481864651,24.2614879334
"D",50.4741411162,12.4619966676
"I",39.7932905744,75.8079642168
"A",48.2051,38.3333
"A",46.9231,NA
"B",36.3556951539,6.0058486497
"M",64.9003579699,NA
"I",69.9677341245,20.5389887758
"A",91.2821,41.5385
"M",38.7980121423,74.6106304299
"J",65.0443252778,11.0008414785
"I",52.6461373069,16.3848363836
"I",54.2002323226,79.3250023354
"J",78.2499161658,17.8832409068
"K",30.1233318217,81.1442953304
"B",50.5839631148,71.8066161014
"L",46.9051031994,81.5656424136
"A",78.2051,10.641
"H",50.2033658114,82.9826568621
"A",52.5641,46.0256
"E",80.7662322969,79.8960656796
"E",41.6360929963,76.2492229205
"G",72.1567189391,16.8142747914
"K",69.2889731377,99.5795911254
"J",57.8178546865,10.9451424306
"L",40.435327397,27.6400711421
"L",58.4597612975,14.1486628546
"K",31.3332440932,32.5385694785
"I",53.7196765696,79.306936167
"E",42.4308889944,75.1336346406
"K",85.3242028911,55.3885788252
"E",45.225738199,NA
"J",NA,83.9468553485
"D",NA,13.436410466
"L",32.9607035213,35.8231112903
"M",28.809401637,59.6210044666
"G",53.2839688423,84.2635992213
"F",76.8223042562,15.5951653195
"J",66.0530857731,13.3802260073
"F",42.8117114739,30.0204484197
"J",50.1446289773,12.2115430946
"D",69.5186727475,15.1804864298
"B",32.579020066,1.80811559665
"D",69.5340709833,64.8929773346
"A",74.359,10.641
"I",55.6629587449,83.3564796243
"F",57.997804739,92.1599086113
"D",50.144392979,47.0142836417
"F",72.1758243064,63.1289294176
"C",75.9871047068,50.4919669557
"D",69.5125730109,61.497563947
"B",42.7817612539,12.9911884302
"L",86.8537073476,65.5433240194
"F",52.9706912828,29.0401966941
"J",62.0480325076,NA
"C",59.4355174849,50.4206326073
"E",37.238249327,83.7249284144
"F",77.5731526867,14.7806458332
"M",71.9936371714,78.8209480695
"A",23.3333,52.9487
"D",30.5015964737,NA
"C",58.8215465891,NA
"D",50.4562073315,89.9874101286
"B",42.2293783752,NA
"J",51.8720726696,85.8297376348
"G",24.9391368744,72.5802858084
"M",33.9237661692,53.5586885227
"E",66.512924456,NA
"G",31.6895761296,26.6664002089
"J",55.1609418175,65.2373081694
"K",64.6552305634,16.6122765086
"G",45.835020171,82.7425919919
"J",61.0885441374,10.0845344144
"D",50.2347207,20.4044729196
"C",67.870887292,70.0680261345
"E",NA,15.0158901333
"L",68.2221986595,1.13388036584
"K",60.3375864858,63.0349593272
"J",43.8070319612,11.3189448865
"D",49.9472399619,48.2295767261
"A",67.9487,47.9487
"I",25.2137904611,60.2733986018
"I",61.124463241,17.1163533592
"H",25.9853178159,17.203722132
"J",NA,62.8109155873
"C",39.1428377913,NA
"K",63.7231835039,14.5214211957
"I",60.7557891374,17.0332315064
"L",39.5965009783,32.1361317349
"L",57.1124475509,15.3217851726
"K",42.4150122932,11.6937810961
"L",72.4624062907,27.6242638254
"A",25.8974,51.0256
"J",25.0548060847,71.5485979221
"F",28.7044492315,61.7775254006
"F",40.9365466658,16.9130048364
"H",75.1423414811,16.7549238932
"M",33.8735095227,37.056028453
"J",45.4691770035,33.8311927323
"C",54.810300495,10.7249292845
"E",42.195266147,20.9193721857
"F",39.6175458263,62.9251879574
"D",50.0631041291,58.085037556
"A",71.5385,64.4872
"A",98.2051,33.718
"E",65.0277937057,57.0962573525
"M",34.9976613883,NA
"B",66.704943997,32.0150954299
"J",53.174656268,84.2605679876
"L",48.8632418189,83.1583574877
"I",55.1296393835,16.3532468711
"J",61.503472503,NA
"D",30.4995061735,53.6125276703
"F",65.0990443941,27.2415575588
"B",39.7063261674,84.2752871038
"E",79.2025626772,92.4072156264
"L",32.2462751352,70.1105868383
"H",50.8127448984,16.5727180506
"I",58.5282895407,78.9787042541
"G",55.8396313724,21.6185696663
"B",33.3393742865,0.5091067352
"H",51.0668072036,17.2088597095
"E",76.271299815,25.5695441452
"F",28.0854682136,63.5901969481
"B",48.8231974964,76.6353305783
"D",50.3269108629,90.0220534916
"M",31.6415992679,77.6108331874
"C",38.0502407785,30.4079460343
"C",32.8706391587,30.5023417488
"J",28.2711941653,72.840231257
"A",49.4872,31.4103
"H",25.9288442731,82.8211841087
"G",NA,31.0393750583
"C",32.6560991775,70.0510704992
"J",41.6095572691,83.8486865559
"K",60.7493891909,NA
"M",67.0733217806,NA
"G",70.9805804021,17.15575228
"C",22.9550932697,70.4268951523
"D",69.5263228876,56.9952791254
"C",88.6626638086,50.4553260208
"K",30.0807992865,27.5880255173
"H",NA,17.113842659
"E",45.225738199,30.5552259226
"C",52.3603310701,89.7043170068
"J",50.5159602579,NA
"C",64.9697382623,NA
"K",43.3926884016,43.5975940692
"H",50.8119753465,17.1149252621
"D",69.500264751,27.1360239942
"D",69.5286156637,91.6220882409
"L",79.4793575017,49.1410154455
"M",64.0515417112,48.8200939835
"B",68.2307689907,80.8725016628
"B",34.1188302357,45.7345513203
"K",63.7602750188,61.1856411696
"L",73.7099068702,78.2706108976
"J",39.5489736947,80.812601774
"L",NA,33.2341293953
"H",52.3315691301,51.8788603463
"G",62.1922520815,76.1568192103
"F",39.4029453026,51.1508571967
"E",42.0806606852,24.9465264454
"E",48.6649246215,64.9610049438
"K",49.899592066,19.5640835356
"D",50.2052589714,57.9242171676
"E",71.8670131631,34.3291575887
"E",42.0028562742,97.8376147235
"G",51.8562999655,21.969084007
"M",68.1932895833,46.5435408096
"J",NA,12.0379170217
"M",64.9359294757,87.0721381174
"A",69.4872,69.4872
"E",42.6125508262,24.195053774
"L",73.7883730663,58.6208121164
"D",69.4994868291,10.2078266798
"G",50.7538984114,76.7541289533
"J",48.0143866846,65.7128195934
"D",69.495755496,NA
"G",51.4536583539,26.0229417521
"H",75.7714500936,17.1112512057
"K",36.619722059,36.8114141094
"G",75.7799048195,79.8861994199
"D",30.5034743497,38.3485561381
"I",52.1881199617,16.4182174652
"L",69.3800563617,1.48813233299
"K",46.0181190216,46.2577233718
"L",61.0865603919,89.2243556475
"I",65.2230303973,18.3971951223
"M",66.8169139163,12.2732943361
"F",62.1056186306,75.9908707599
"F",59.5299284566,88.3272741451
"D",30.491302622,NA
"B",75.4012268619,88.6390766207
"L",69.3800563617,NA
"B",80.4708943189,49.5021483467
"K",37.5800715749,38.8315722007
"K",58.3231396505,60.0310591646
"B",31.8384976954,71.8121653901
"F",41.9383300069,24.9915229793
"L",54.0206071815,47.2698972057
"A",50,78.718
"A",47.9487,95
"H",75.2399699777,17.0318474866
"L",42.1848064503,28.5736747331
"G",50.8925215809,29.1452839382
"D",49.9227419194,38.4404729124
"L",52.772288113,99.6134716833
"G",39.1995941778,23.6804956588
"D",89.5001804719,31.9789174357
"L",21.7960992263,49.4995295248
"C",80.240250951,70.3543089613
"B",62.5168908529,66.4847322418
"D",50.2310718829,80.6473870602
"B",33.0240700249,24.4678303872
"D",NA,27.1360239942
"B",37.4884147432,60.8144048511
"D",69.5322795847,21.8509008151
"A",44.1026,52.9487
"D",50.4441175504,75.0132995059
"D",50.0836645085,10.2358819024
"M",68.6213124429,18.9156764428
"L",66.7481899024,84.0048341677
"H",51.9275902141,52.2577906065
"K",NA,14.5214211957
"I",NA,79.2471070208
"D",89.490246254,48.890796551
"A",32.8205,51.0256
"M",33.4233718511,67.0957433613
"D",30.6202277519,60.8600821544
"A",35.3846,51.4103
"B",28.0033242354,46.6721919544
"C",70.6059455116,90.042061963
"K",81.2694405511,80.635944933
"I",47.875198343,78.6758534295
"B",62.8332930874,62.5108942269
"L",59.9704150458,7.9133104735
"F",39.5825667453,17.6484528361
"L",94.9974880471,35.0953011066
"C",23.2847479782,50.4743528321
"G",37.9497836858,26.5217492344
"K",33.3947987327,35.0168013145
"C",80.4002336791,30.4850063746
"B",21.7780404779,6.61662530728
"B",43.542775926,62.4603112824
"I",51.1705368873,79.1652941091
"I",85.1801432805,53.7816766607
"J",67.7894961571,61.3637015467
"J",58.0066691227,30.2537212987
"H",52.7137744894,51.1979443188
"H",52.0252141055,52.1230110467
"A",35.641,79.8718
"K",73.0014940701,24.0738125371
"H",50.4438027888,82.9418288173
"F",79.1867885665,53.2347918468
"L",72.7784101997,26.9005353695
"E",34.1489682077,13.5238698677
"G",75.0925497814,NA
"G",28.2178118248,28.2802924847
"G",43.9193873055,27.7978445882
"C",47.9169554375,30.4867257545
"C",59.751497414,89.7319325216
"K",58.4163840114,NA
"L",59.0141444945,93.5748748733
"B",70.2425464362,24.1095975542
"B",NA,29.3808085571
"K",31.1357349152,61.4319127116
"B",91.6399614428,79.4066030605
"D",30.5203612407,65.1004090686
"J",53.7037759268,66.3894820363
"H",76.0635502513,52.1046520613
"K",NA,10.1698684594
"I",21.8635812756,46.0525933457
"G",61.7206191907,85.7056934492
"J",50.5159602579,9.76559162187
"H",52.500088943,51.594356165
"I",84.4247858276,38.761410164
"D",50.4467514196,NA
"F",80.3577008812,63.2954375404
"J",35.5376642131,48.7293868661
"D",NA,57.9242171676
"A",51.5385,96.0256
"M",72.371523338,21.9616397473
"J",52.2343086004,29.7116729865
"C",39.1428377913,30.7928559394
"E",39.7972712705,16.083549649
"I",60.7879700808,17.0462048583
"M",33.4233718511,NA
"D",50.3334811097,NA
"G",51.9829247003,82.2043834675
"M",64.4986348346,22.863501327
"K",41.2902998033,42.3115524113
"I",26.8595295604,63.1418346727
"I",85.570985078,44.5600964397
"M",32.6577782482,80.1138612983
"L",52.4215231623,47.867005488
"F",27.186463838,63.5587296478
"J",41.1637810689,34.3157582514
"E",74.0707000309,68.4795642895
"B",48.9070429644,74.2877488252
"G",65.3064624975,NA
"L",61.7372710245,NA
"J",49.2805947987,84.0488228306
"H",75.1643404933,83.0349971693
"K",33.1677570349,31.2477411672
"I",46.9624619942,78.6665589963
"C",73.1051481627,70.300511881
"J",40.0746666572,34.6236852027
"B",47.4881326771,NA
"A",37.6923,25.7692
"M",67.6295142176,61.4291060701
"I",85.344964503,52.886419866
"G",61.8185854576,76.1128240228
"J",37.8904155015,82.5674929978
"G",NA,16.7892016247
"D",69.4989700668,92.1204899292
"G",NA,34.7692538555
"C",65.9952727194,30.4750241915
"G",17.8934987136,71.1096873431
"A",53.0769,55.641
"K",NA,35.0330581489
"H",27.4392496133,51.7120790527
"K",30.1233318217,NA
"M",38.4028368753,19.0468586722
"H",52.5205524936,51.5024421035
"A",86.4103,47.5641
"L",45.4126389249,53.8707976895
"A",NA,25.2564
"E",36.7146633371,17.3818098572
"F",59.6521583697,87.8094615921
"M",69.7654249704,19.999850454
"M",36.9041611715,13.5838157511
"A",53.5897,37.5641
"J",73.4286708654,NA
"E",39.0542484428,83.1190207043
"I",NA,77.3991884543
"H",75.2870877232,16.1749349097
"L",51.3532681954,0.30387242055
"D",69.199057706,60.4189573202
"M",36.6307877065,31.4768312621
"K",59.6326101247,7.05803719901
"F",77.4966517463,14.9485235577
"A",NA,94.1026
"J",63.0674998921,64.0350004581
"H",75.1524592023,17.0049424015
"H",25.4435257049,82.8742004973
"D",50.210881979,80.9417717084
"D",50.3394254813,18.7234506861
"M",64.3881920705,15.7728122808
"E",75.9692852004,29.0388653753
"K",65.1507052757,92.5026337368
"M",74.8121312339,57.5898837631
"G",49.5842392555,16.7579160147
"J",61.6147759612,29.9943911942
"D",50.3269108629,NA
"C",43.3710018924,50.5008373234
"L",37.6270534612,NA
"F",67.8817196169,24.2360184109
"G",56.6089076561,70.4089460888
"I",48.9146182416,16.7986370826
"H",50.5171258092,89.1023945866
"C",32.5307027362,70.1573965085
"B",65.6236574431,15.5828033531
"E",50.6492211499,37.4837907435
"L",62.4447424979,35.4149992261
"M",68.856486669,NA
"A",61.5385,66.4103
"G",57.6132335477,83.9051707998
"M",34.6445467746,NA
"M",67.3093466467,0.217006270014
"L",58.2964084158,41.5831977346
"I",57.1446946889,79.1941025922
"B",43.6843934333,32.8230098696
"D",69.4943803061,52.6124107059
"L",44.3773828236,57.6847369215
"B",27.9226442446,25.9868781844
"D",30.4995937106,26.0855615691
"D",NA,58.085037556
"H",26.4913985349,17.4053909738
"L",NA,63.7886855744
"M",63.4104355141,38.377735614
"G",61.1359469093,82.5375693646
"B",74.0216939058,76.1282745076
"M",35.675404696,49.6256433471
"G",51.8116637782,17.0334945954
"L",35.4047362397,31.9391621952
"F",44.0445656189,35.6622382764
"E",85.4461864009,83.0782938448
"E",40.5124478537,22.9622145725
"J",53.0030253202,84.6747986012
"H",50.1786718465,83.1846223323
"E",36.0271982243,82.0407806505
"L",62.5117719862,7.49123248279
"J",68.5431435378,35.6578321706
"J",59.2692803248,29.6407017654
"K",NA,85.3560457326
"G",51.2743918205,82.8179829379
"L",76.9882734745,54.2027848022
"M",68.7680482759,13.5214565521
"H",75.04472578,17.0042622562
"J",NA,85.8762291224
"M",30.5783699449,65.5219454667
"H",27.4392496133,NA
"G",50.7538984114,NA
